comName,howMany
Brant,190
Bonaparte's Gull,16
Least Sandpiper,12
Purple Martin,9
Semipalmated Sandpiper,7
Turkey Vulture,7
White-winged Scoter,6
Northern Cardinal,6
Gray Catbird,5
Common Tern,5
European Starling,4
Common Grackle,4
American Black Duck,4
American Robin,4
American Redstart,4
Red-eyed Vireo,4
Willet,4
Northern Parula,4
American Crow,3
Red-breasted Merganser,3
Bobolink,3
Laughing Gull,3
Red-bellied Woodpecker,3
Black-throated Green Warbler,3
Cliff Swallow,3
Common Nighthawk,3
American Goldfinch,2
Blue-winged Warbler,2
Bank Swallow,2
American Oystercatcher,2
American Woodcock,2
Eastern Bluebird,2
Great Black-backed Gull,2
Greater Yellowlegs,2
Hermit Thrush,2
Osprey,2
Northern Rough-winged Swallow,2
House Sparrow,2
House Finch,2
Rock Pigeon,2
Ruddy Duck,2
White-throated Sparrow,2
White-crowned Sparrow,2
Tufted Titmouse,2
Purple Sandpiper,2
Mallard,2
Marsh Wren,2
Eastern Kingbird,2
Forster's Tern,2
Black-and-white Warbler,2
Broad-winged Hawk,2
Bufflehead,2
Cape May Warbler,2
Brown Thrasher,2
Carolina Wren,2
Swamp Sparrow,2
Warbling Vireo,2
Red-tailed Hawk,2
Yellow Warbler,2
Palm Warbler,2
Barn Swallow,1
Belted Kingfisher,1
Baltimore Oriole,1
Dark-eyed Junco,1
Cooper's Hawk,1
Common Yellowthroat,1
Common Raven,1
Common Loon,1
Common Merganser,1
Clapper Rail,1
Common Gallinule,1
Chimney Swift,1
Chestnut-sided Warbler,1
Chipping Sparrow,1
Chuck-will's-widow,1
Canada Warbler,1
Caspian Tern,1
Cedar Waxwing,1
Cerulean Warbler,1
Canada Goose,1
Brown-headed Cowbird,1
Brown Creeper,1
Barred Owl,1
Black Vulture,1
Black-bellied Plover,1
Black-billed Cuckoo,1
Bay-breasted Warbler,1
Black-capped Chickadee,1
Black-crowned Night Heron,1
Black-throated Blue Warbler,1
Blackburnian Warbler,1
Blackpoll Warbler,1
Blue Jay,1
Blue-gray Gnatcatcher,1
Blue-headed Vireo,1
American Herring Gull,1
American Coot,1
Bald Eagle,1
American Pipit,1
American Kestrel,1
Green Heron,1
Green-winged Teal,1
Hairy Woodpecker,1
Lesser Yellowlegs,1
Least Tern,1
Lincoln's Sparrow,1
Long-tailed Duck,1
Killdeer,1
Great Crested Flycatcher,1
Great Egret,1
Great Horned Owl,1
Hooded Merganser,1
Hooded Warbler,1
Glossy Ibis,1
Gadwall,1
Fish Crow,1
Field Sparrow,1
Great Blue Heron,1
Grasshopper Sparrow,1
Golden-winged x Blue-winged Warbler (hybrid),1
Golden-crowned Kinglet,1
Eastern Wood-Pewee,1
Eastern Towhee,1
Eastern Phoebe,1
Eastern Screech-Owl,1
Downy Woodpecker,1
Double-crested Cormorant,1
Orchard Oriole,1
Olive-sided Flycatcher,1
Northern Waterthrush,1
Northern Pintail,1
Northern Mockingbird,1
Northern Flicker,1
Northern Harrier,1
Northern House Wren,1
Mourning Warbler,1
Mute Swan,1
Mourning Dove,1
Nashville Warbler,1
Magnolia Warbler,1
Louisiana Waterthrush,1
Merlin,1
Monk Parakeet,1
Indigo Bunting,1
Kentucky Warbler,1
Least Flycatcher,1
Red-breasted Nuthatch,1
Ring-necked Duck,1
Rose-breasted Grosbeak,1
Ruby-crowned Kinglet,1
Ring-billed Gull,1
Red-shouldered Hawk,1
Red-headed Woodpecker,1
Purple Finch,1
Pileated Woodpecker,1
Ovenbird,1
Prairie Warbler,1
Pine Warbler,1
Peregrine Falcon,1
Snowy Egret,1
Short-billed Dowitcher,1
Sharp-shinned Hawk,1
Semipalmated Plover,1
Savannah Sparrow,1
Scarlet Tanager,1
Rusty Blackbird,1
Ruby-throated Hummingbird,1
Red-winged Blackbird,1
Tree Swallow,1
Spotted Sandpiper,1
Swainson's Thrush,1
Virginia Rail,1
Tennessee Warbler,1
Solitary Sandpiper,1
Song Sparrow,1
White-eyed Vireo,1
White-breasted Nuthatch,1
Veery,1
Wild Turkey,1
Wilson's Warbler,1
Winter Wren,1
Wood Duck,1
Willow Flycatcher,1
Wood Thrush,1
Worm-eating Warbler,1
Yellow-bellied Sapsucker,1
Yellow-billed Cuckoo,1
Yellow-crowned Night Heron,1
Yellow-rumped Warbler,1
Yellow-throated Vireo,1
Yellow-throated Warbler,1
