comName,howMany
Canada Goose,7.0
Carolina Wren,6.0
Northern Cardinal,6.0
Tufted Titmouse,5.0
American Crow,5.0
American Goldfinch,4.0
Acadian Flycatcher,4.0
European Starling,4.0
Yellow-rumped Warbler,4.0
Common Grackle,4.0
Carolina Chickadee,4.0
Black-and-white Warbler,3.0
Gray Catbird,3.0
Turkey Vulture,3.0
Mallard,3.0
Eastern Bluebird,3.0
Chipping Sparrow,3.0
Brown Thrasher,2.0
American Redstart,2.0
Eastern Phoebe,2.0
Eastern Towhee,2.0
Northern Parula,2.0
Red-shouldered Hawk,2.0
Spotted Sandpiper,2.0
Tree Swallow,2.0
Song Sparrow,2.0
Sharp-shinned Hawk,2.0
Ovenbird,2.0
Black-throated Blue Warbler,2.0
Barn Swallow,2.0
Belted Kingfisher,1.0
Black Vulture,1.0
Barred Owl,1.0
Baltimore Oriole,1.0
American Robin,1.0
Wilson's Warbler,1.0
Eastern Kingbird,1.0
Double-crested Cormorant,1.0
Downy Woodpecker,1.0
Common Yellowthroat,1.0
Cape May Warbler,1.0
Chimney Swift,1.0
Cooper's Hawk,1.0
Brown-headed Nuthatch,1.0
Cedar Waxwing,1.0
Blackpoll Warbler,1.0
Black-throated Green Warbler,1.0
Blue Grosbeak,1.0
Blue Jay,1.0
Blue-gray Gnatcatcher,1.0
Blue-headed Vireo,1.0
Pileated Woodpecker,1.0
Northern Waterthrush,1.0
Orchard Oriole,1.0
Osprey,1.0
Mourning Dove,1.0
Northern Flicker,1.0
Northern Mockingbird,1.0
Louisiana Waterthrush,1.0
Indigo Bunting,1.0
Hairy Woodpecker,1.0
Hermit Thrush,1.0
House Finch,1.0
Great Blue Heron,1.0
Fish Crow,1.0
Great Crested Flycatcher,1.0
Green Heron,1.0
Yellow Warbler,1.0
Wood Duck,1.0
Scarlet Tanager,1.0
Veery,1.0
White-eyed Vireo,1.0
Prothonotary Warbler,1.0
Pine Warbler,1.0
Prairie Warbler,1.0
Solitary Sandpiper,1.0
Ruby-throated Hummingbird,1.0
Red-tailed Hawk,1.0
Red-winged Blackbird,1.0
Summer Tanager,1.0
Purple Martin,1.0
Red-eyed Vireo,1.0
Red-bellied Woodpecker,1.0
Yellow-throated Warbler,1.0
Yellow-breasted Chat,1.0
Worm-eating Warbler,1.0
Wood Thrush,1.0
Yellow-throated Vireo,1.0
White-throated Sparrow,1.0
Wild Turkey,1.0
White-breasted Nuthatch,1.0
Brown-headed Cowbird,0.0
Northern House Wren,0.0
House Sparrow,0.0
Killdeer,0.0
Eastern Wood-Pewee,0.0
Hooded Warbler,0.0
Swainson's Thrush,0.0
Red-headed Woodpecker,0.0
