county,state,region_code,lat,lng
Williamsburg,VA,US-VA-830,37.2693,-76.7076
Westchester,NY,US-NY-119,41.1626,-73.7561
Radford,VA,US-VA-750,37.1229,-80.5587
Honolulu,HI,US-HI-003,21.4899,-158.0739
Hawaii,HI,US-HI-001,19.5984,-155.5183
Hawaii,HI,US-HI-001,19.5984,-155.5183
Bronx,NY,US-NY-005,40.8501,-73.8672
Bronx,NY,US-NY-005,40.8501,-73.8672
Orange,NY,US-NY-071,41.4022,-74.3056
Orange,NY,US-NY-071,41.4022,-74.3056
Orange,VA,US-VA-137,38.2461,-78.014
Orange,VA,US-VA-137,38.2461,-78.014
Lincoln,WY,US-WY-023,42.264,-110.656
Lincoln,WY,US-WY-023,42.264,-110.656
Newport,RI,US-RI-005,41.5568,-71.2363
Newport,RI,US-RI-005,41.5568,-71.2363
Virginia Beach,VA,US-VA-810,36.7335,-76.0435
Charlottesville,VA,US-VA-540,38.0375,-78.4855
Alexandria,VA,US-VA-510,38.8185,-77.0861
Alexandria,VA,US-VA-510,38.8185,-77.0861
Newport News,VA,US-VA-700,37.105,-76.5181
Newport News,VA,US-VA-700,37.105,-76.5181
Norfolk,VA,US-VA-710,36.8947,-76.257
Norfolk,VA,US-VA-710,36.8947,-76.257
Clark,NV,US-NV-003,36.2152,-115.0135
Clark,NV,US-NV-003,36.2152,-115.0135
Saratoga,NY,US-NY-091,43.1074,-73.8639
Saratoga,NY,US-NY-091,43.1074,-73.8639
Prince William,VA,US-VA-153,38.7029,-77.4809
Monongalia,WV,US-WV-061,39.6303,-80.0466
Fairbanks North Star,AK,US-AK-090,64.8078,-146.5654
Loudoun,VA,US-VA-107,39.0907,-77.6357
Loudoun,VA,US-VA-107,39.0907,-77.6357
Essex,MA,US-MA-009,42.6732,-70.9524
Essex,MA,US-MA-009,42.6732,-70.9524
Essex,MA,US-MA-009,42.6732,-70.9524
Essex,VA,US-VA-057,37.9428,-76.9519
Essex,VA,US-VA-057,37.9428,-76.9519
Essex,VA,US-VA-057,37.9428,-76.9519
Essex,VA,US-VA-057,37.9428,-76.9519
Travis,TX,US-TX-453,30.3344,-97.782
Travis,TX,US-TX-453,30.3344,-97.782
Travis,TX,US-TX-453,30.3344,-97.782
James City,VA,US-VA-095,37.3289,-76.7789
James City,VA,US-VA-095,37.3289,-76.7789
James City,VA,US-VA-095,37.3289,-76.7789
Appomattox,VA,US-VA-011,37.3723,-78.8126
Appomattox,VA,US-VA-011,37.3723,-78.8126
Appomattox,VA,US-VA-011,37.3723,-78.8126
Appomattox,VA,US-VA-011,37.3723,-78.8126
King William,VA,US-VA-101,37.7066,-77.0885
King William,VA,US-VA-101,37.7066,-77.0885
King William,VA,US-VA-101,37.7066,-77.0885
Westmoreland,VA,US-VA-193,38.112,-76.8042
Westmoreland,VA,US-VA-193,38.112,-76.8042
Westmoreland,VA,US-VA-193,38.112,-76.8042
Westmoreland,VA,US-VA-193,38.112,-76.8042
