Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,17165,species,Great Crested Flycatcher,Myiarchus crinitus,1,Wythe Avenue,US-VA,26 Apr 2025,L40299896,S229796174,,1
2,33779,species,American Redstart,Setophaga ruticilla,2,New Quarter Park,US-VA,26 Apr 2025,L286165,S229595482,,1
3,33673,species,Worm-eating Warbler,Helmitheros vermivorum,1,New Quarter Park,US-VA,26 Apr 2025,L286165,S229595482,,1
4,19067,species,Red-eyed Vireo,Vireo olivaceus,1,New Quarter Park,US-VA,26 Apr 2025,L286165,S229595482,,1
5,33587,species,Great-tailed Grackle,Quiscalus mexicanus,5,Flamingo Wildlife Habitat,US-NV,20 Apr 2025,L43063804,S227510310,,1
6,23957,species,Barn Swallow,Hirundo rustica,1,Greensprings Interpretive Trail,US-VA,14 Apr 2025,L280466,S225677425,,1
7,441,species,Wood Duck,Aix sponsa,4,Greensprings Interpretive Trail,US-VA,14 Apr 2025,L280466,S225677425,,1
8,26683,species,Brown-headed Nuthatch,Sitta pusilla,2,Colonial Parkway - Glebe Land,US-VA,14 Apr 2025,L39582121,S225584624,,1
9,8228,species,Northern Harrier,Circus hudsonius,1,VA-ISS-50,US-VA,05 Apr 2025,L3095846,S223188877,,1
10,7635,species,Great Egret,Ardea alba,14,VA-ISS-50,US-VA,05 Apr 2025,L3095846,S223188877,,1
11,7557,species,Snowy Egret,Egretta thula,10,VA-ISS-50,US-VA,05 Apr 2025,L3095846,S223188877,,1
12,7382,species,Glossy Ibis,Plegadis falcinellus,27,VA-ISS-50,US-VA,05 Apr 2025,L3095846,S223188877,,1
13,6092,species,Greater Yellowlegs,Tringa melanoleuca,1,VA-ISS-50,US-VA,05 Apr 2025,L3095846,S223188877,,1
14,5997,species,Short-billed Dowitcher,Limnodromus griseus,10,VA-ISS-50,US-VA,05 Apr 2025,L3095846,S223188877,,1
15,33576,species,Common Grackle,Quiscalus quiscula,20,Greensprings Interpretive Trail,US-VA,03 Apr 2025,L280466,S222753168,,1
16,16840,species,Eastern Phoebe,Sayornis phoebe,1,Mainland Farm/Drummond's Field,US-VA,02 Apr 2025,L2830270,S222538299,,1
17,588,species,Green-winged Teal,Anas crecca,2,Mainland Farm/Drummond's Field,US-VA,02 Apr 2025,L2830270,S222538299,,1
18,33033,species,Swamp Sparrow,Melospiza georgiana,2,Mainland Farm/Drummond's Field,US-VA,29 Mar 2025,L2830270,S221704236,,1
19,32962,species,Savannah Sparrow,Passerculus sandwichensis,2,Mainland Farm/Drummond's Field,US-VA,29 Mar 2025,L2830270,S221704236,,1
20,27054,species,Winter Wren,Troglodytes hiemalis,1,Mainland Farm/Drummond's Field,US-VA,29 Mar 2025,L2830270,S221704236,,1
21,26874,species,Blue-gray Gnatcatcher,Polioptila caerulea,2,Mainland Farm/Drummond's Field,US-VA,29 Mar 2025,L2830270,S221704236,,1
22,33556,species,Brown-headed Cowbird,Molothrus ater,1,New Quarter Park,US-VA,22 Mar 2025,L286165,S219965810,,1
